relone_date,gov_date,type,feature,description
2025/08/26,2025/08/28,Enhancement,PDF,"Ability to download stored PDFs with transparent redactions and highlights, unblocking QC workflows to confirm and approve markups on printed documents. â"
2025/06/23,2025/07/11,Enhancement,PDF,Allows users to create a single PDF for multiple documents based on family group.
2025/07/17,2025/07/21,Change,Object Types,Object types will be created with Use Relativity Forms set to Yes. This cannot be overridden.
2025/07/23,2025/07/23,Enhancement,aiR for Review,"In aiR for Review weâve added a new All Issues tab to the Issues jobs section, giving you a consolidated view of all issue results in one place."
2025/07/17,2025/07/17,Enhancement,aiR for Review,"In aiR for Review the maximum job size has been increased to 250k documents. Additionally, the maximum number of concurrent large jobs has been increased to 10."
2025/07/16,2025/07/16,Enhancement,Redact,The validation workflow will run nightly and apply Cannot be redacted in native viewer to documents that have issues and should go through the external workflow.
2025/07/15,,Enhancement,Integration Points,"Added new Job History Error for when the Sync flow completes successfully but the data transfer for Short Message Search and Message-Level Coding has failed. In these situations, retrying with an append/overlay job will fix the error."
2025/07/15,,Enhancement,Search & Review,Short Message Search and Message-level Coding were released as part of the Short Message Investigative workflow to commercial clients.
2025/07/17,2025/07/17,Enhancement,Collect,"Relativity Collect now supports Google Gemini as a data source, enabling collection of Gemini chat conversations and metadata via Google Vault with automatic conversion to Relativity Short Message Format (RSMF) for review."
2025/07/16,2025/07/16,Enhancement,aiR for Review,"Empower aiR for Review users to leverage background case documents (requests for production, review protocols, key docs, etc.) to build their first version of an aiR for Review projectâs prompt criteria."
,2025/07/11,Enhancement,Management Console,RelativityOne Government customers can now use Staging Reports Billable Summary Reports to quickly understand folder sizes and access information across their Staging Area.
2025/07/08,N/A,Enhancement,aiR for Review,"aiR for Review is now available in Hong Kong, India, Japan, Singapore, and South Korea."
2025/06/16,,Enhancement,Message of the Day,"When the Message of the Day is set to 'Allow Users to Dismiss' = False, users will see the message every time they access Relativity. Before this change, they would only see the message once every 8 hours."
2025/07/04,,Enhancement,Management Console,"We've added many new fields to Usage Reports across categories of Analytics Statistics, Infrastructure Statistics and Workspace Untilization metrics. Fields like Keywords, Notes, Workspace Status and Project type help reduce the amount of merging of data needed outside of the system, while infrastructure and analytics metrics help continue your billing models from Relativity Server in RelativityOne."
2025/06/24,2025/06/24,Resolved defect,RelativityOne Staging Explorer,Resolved an issue causing elevated CPU usage during the login process.
2025/06/25,2025/06/25,Deprecation,Collect Folder Path,Collect Folder Path has been deprecated in RelativityOne.
2025/06/16,N/A,Enhancement,aiR for Review,"We upgraded the foundational LLM used alongside our generative AI solutions - including the aiR suite. Due to this change, customers should be aware that results on jobs leveraging the new model may differ than those prior to June 15th. Customers should plan their work accordingly to minimize any workflow disruptions."
2025/05/27,2025/05/27,Enhancement,RelativityOne Staging Explorer,The legacy Internet Explorer based login window embedded in ROSE has been disabled. ROSE users will now use the new browser-based login instead.
2025/05/27,2025/05/27,Enhancement,Review Center,"We made the validation sample size calculations for prioritized review queues more intuitive, while also adding in an estimated richness field. If you know your richness, enter it here to help calculate your sample size. If not, leave it at the default for a conservative estimate."
2025/05/22,,Resolved defect,RelativityOne Staging Explorer,"Fixed an issue that caused ""Failed to get operation status."" error during zip/compress operations."
2025/05/22,2025/05/22,Resolved defect,RelativityOne Staging Explorer,"Updated RelativityOne Staging Explorer to the latest library version, improving stability and enhancing error categorization."
2025/05/22,,Enhancement,RelativityOne Staging Explorer,Added information to the user interface about limitations and recommendations for zip/compress operations.
2025/05/22,2025/05/22,Enhancement,RelativityOne Staging Explorer,Added a link to the Release Notes page in the menu for quick access to new improvements and fixes.
2025/05/21,,Enhancement,Management Console,"You can now use any existing Usage Report as a template for creating a new Usage Report, saving you time and clicks when regularly accessing data"
2025/05/20,2025/05/20,Enhancement,Review Center,You will now see more detailed status updates when starting and refreshing a queue.
2025/05/05,N/A,Enhancement,Management Console,"You can now delete Usage Reports from the Report list or via API call, allowing you to only keep the reports you need."
2025/05/08,2025/05/08,Resolved defect,Integration Points,Fixed an issue that caused the Integration Points Job Wizard to get stuck/load indefinitely for certain users.
2025/05/08,2025/05/08,Enhancement,Import/Export,The Choose From Staging option now allows direct import of load file data from the StructuredData folder within the Structured Import data flow.
2025/05/07,2025/05/07,Enhancement,aiR for Review,"aiR for Review Prompt Criteria (review instruction for LLM) can now be exported, enabling easier collaboration during prompt drafting and iteration."
2025/05/06,2025/05/06,Enhancement,Security Center,System Administrators will be able to grant permissions/access to Security Center for their Client Domain admins to see this new feature set.
2025/04/29,2025/04/29,Enhancement,Legal Hold,"A new mass action is available on the Custodian Projects page which automates the process of cleaning up duplicate Custodian Role objects. Duplicate Custodian Role objects can cause issues in functionality including assigning custodians, releasing custodians, sending emails, and closing the project."
2025/04/25,2025/04/25,Enhancement,ARM,"The restore setting has a new option to support âFiles first/separatelyâ workflow. A file repository folder for archive without files can be put under ARM folder, and an archive with files will be combined during restore."
2025/04/30,N/A,Enhancement,PDF,Password bank is now integrated for PDF documents. This enhancement allows you to perform single or mass PDF download or store operations on native password-protected documents.
2025/04/22,2025/04/22,Enhancement,Review Center,You can now anonymize reviewer names on the Review Center dashboard with a new queue setting.
2025/04/23,TBA,Enhancement,User,System Administrators can now check and remove a user from Send Grid's bounce list from the User page in Relativity.
2025/04/22,2025/04/22,Enhancement,Preservation,The Preservation application now supports Slack as a data source. This data source connects to Slack Legal Hold to place custodial holds on all direct messages and channels specified custodians are a part of.
2025/04/18,2025/04/21,Enhancement,aiR for Review,"aiR for Review's maximum job size has been increased from 100,000 to 150,000 documents. The maximum number of concurrent documents per instance has also been increased from 150,000 to 600,000."
2025/04/24,2025/04/29,Enhancement,Pagebase,This feature adds a descriptive title to the page. The title will be displayed in the tab of the browser and read out by a screen reader.
2025/04/15,,Enhancement,Management Console,"Management Console usage reports now contains the field 'aiR for Case Strategy Documents', allowing System and Client Domain Admins to quickly understand the volume of documents within aiR for Case Strategy projects across their workspaces"
2025/04/09,,Enhancement,aiR for Privilege,"This feature incorporates the LLM analysis into the Populate Privilege Results pipeline step, giving visibility to when results are generating and when they are complete."
2025/04/03,2025/04/03,Enhancement,Redact,This feature provides the option to clear all markups for the destination markup set prior to propagation.
2025/04/03,2025/04/03,Enhancement,Redact,"Provides the ability to download the prepared native, uploaded externally redacted file, original native, and branded versions of the document from the Redact External Markup tab."
2025/04/03,N/A,Deprecation,Data Breach Response,The legacy Incorporate Feedback page has been deprecated in Data Breach Response. This functionality is now available in the Data Analysis tab in RelativityOne.
2025/03/26,,Enhancement,RelativityOne Staging Explorer,"ROSE users can log in either through their browser or via standard login, with the requirement of providing the instance URL."
2025/03/26,,Enhancement,OAuth2 Client,OAuth2 clients support Trusted IPs when issuing access tokens.
2025/03/26,2025/04/16,Enhancement,Review Center,"Saved models in Review Center provide the ability to take the knowledge, or the training, from one prioritized review queue and re-use it in another queue."
